"visibility","datetime","coord.lon","coord.lat","main.temp","main.feels_like","main.temp_min","main.temp_max","main.pressure","main.humidity","main.sea_level","main.grnd_level","wind.speed","wind.deg","wind.gust","clouds.all","sys.sunrise","sys.sunset","weather.id","weather.main","weather.description","weather.icon","extraction_date_time","city_name","sys.type","sys.id","rain.1h"
10000.0,"2024-05-01 00:06:00+08:00",119.9811,16.1561,28.32,33.09,28.32,28.32,1009.0,81.0,1009.0,1003.0,1.29,229.0,1.31,1.0,"2024-05-01 05:35:32+08:00","2024-05-01 18:18:37+08:00",800.0,"Clear","clear sky","01n","2024-05-01 00:06:00.863033+08:00","Alaminos","","",""
10000.0,"2024-05-01 00:06:02+08:00",120.5833,15.15,30.25,36.72,26.7,30.25,1010.0,74.0,"","",3.09,200.0,"",20.0,"2024-05-01 05:34:20+08:00","2024-05-01 18:15:01+08:00",801.0,"Clouds","few clouds","02n","2024-05-01 00:06:02.195597+08:00","Angeles City",1.0,8152.0,""
10000.0,"2024-05-01 00:06:04+08:00",121.19,15.6181,26.82,30.41,26.82,26.82,1010.0,92.0,1010.0,970.0,2.48,87.0,3.82,11.0,"2024-05-01 05:31:21+08:00","2024-05-01 18:13:08+08:00",801.0,"Clouds","few clouds","02n","2024-05-01 00:06:04.250552+08:00","Antipolo",2.0,2090375.0,""
10000.0,"2024-05-01 00:06:05+08:00",123.5085,12.2285,27.05,29.57,27.05,27.05,1009.0,77.0,1009.0,1000.0,4.11,81.0,7.1,55.0,"2024-05-01 05:26:02+08:00","2024-05-01 17:59:55+08:00",803.0,"Clouds","broken clouds","04n","2024-05-01 00:06:05.563880+08:00","Bacolod","","",""
10000.0,"2024-05-01 00:06:07+08:00",120.929,14.459000000000001,29.66,36.38,29.46,30.1,1009.0,79.0,"","",3.6,120.0,"",20.0,"2024-05-01 05:33:45+08:00","2024-05-01 18:12:49+08:00",801.0,"Clouds","few clouds","02n","2024-05-01 00:06:07.897236+08:00","Bacoor",2.0,2005706.0,""
10000.0,"2024-05-01 00:06:10+08:00",122.8333,10.5333,28.98,33.25,28.98,28.98,1008.0,73.0,1008.0,1005.0,2.32,169.0,3.27,85.0,"2024-05-01 05:30:39+08:00","2024-05-01 18:00:41+08:00",804.0,"Clouds","overcast clouds","04n","2024-05-01 00:06:10.403922+08:00","Bago City","","",""
10000.0,"2024-05-01 00:02:38+08:00",120.5931,16.4164,18.53,18.71,18.53,18.53,1011.0,87.0,1011.0,921.0,1.14,129.0,1.01,0.0,"2024-05-01 05:32:47+08:00","2024-05-01 18:16:29+08:00",800.0,"Clear","clear sky","01n","2024-05-01 00:06:11.760573+08:00","Baguio","","",""
10000.0,"2024-05-01 00:06:13+08:00",123.1228,9.5911,28.99,34.29,28.99,28.99,1009.0,78.0,1009.0,990.0,2.29,102.0,2.54,100.0,"2024-05-01 05:30:34+08:00","2024-05-01 17:58:28+08:00",501.0,"Rain","moderate rain","10n","2024-05-01 00:06:13.072942+08:00","Bais",1.0,8185.0,1.42
10000.0,"2024-05-01 00:06:14+08:00",120.5361,14.6761,28.03,32.02,28.03,30.07,1009.0,79.0,1009.0,993.0,5.16,132.0,6.64,67.0,"2024-05-01 05:35:04+08:00","2024-05-01 18:14:39+08:00",803.0,"Clouds","broken clouds","04n","2024-05-01 00:06:14.271829+08:00","Balanga",1.0,8151.0,""
10000.0,"2024-05-01 00:06:16+08:00",120.5649,18.0554,28.88,35.27,28.88,28.88,1009.0,84.0,"","",1.54,60.0,"",20.0,"2024-05-01 05:30:55+08:00","2024-05-01 18:18:34+08:00",801.0,"Clouds","few clouds","02n","2024-05-01 00:06:16.683668+08:00","Batac City",1.0,8159.0,""
10000.0,"2024-05-01 00:05:26+08:00",121.05,13.75,27.13,30.55,27.13,27.13,1009.0,85.0,1009.0,1001.0,4.09,98.0,6.45,78.0,"2024-05-01 05:34:06+08:00","2024-05-01 18:11:30+08:00",803.0,"Clouds","broken clouds","04n","2024-05-01 00:06:18.902655+08:00","Batangas City","","",""
10000.0,"2024-05-01 00:06:21+08:00",122.8011,9.3636,28.0,31.5,28.0,28.0,1009.0,76.0,1009.0,991.0,1.29,28.0,0.96,100.0,"2024-05-01 05:32:06+08:00","2024-05-01 17:59:30+08:00",804.0,"Clouds","overcast clouds","04n","2024-05-01 00:06:21.351533+08:00","Bayawan","","",""
10000.0,"2024-05-01 00:06:23+08:00",123.7135,13.4083,27.85,32.02,27.85,27.85,1010.0,82.0,1010.0,999.0,4.83,121.0,5.53,35.0,"2024-05-01 05:23:51+08:00","2024-05-01 18:00:27+08:00",802.0,"Clouds","scattered clouds","03n","2024-05-01 00:06:23.780653+08:00","Baybay","","",""
10000.0,"2024-05-01 00:06:25+08:00",125.7675,8.7561,25.7,26.81,25.7,25.7,1010.0,95.0,1010.0,989.0,0.48,88.0,0.5,100.0,"2024-05-01 05:20:55+08:00","2024-05-01 17:46:57+08:00",804.0,"Clouds","overcast clouds","04n","2024-05-01 00:06:25.477978+08:00","Bayugan",2.0,2093017.0,""
10000.0,"2024-05-01 00:06:27+08:00",125.0336,11.0725,27.39,30.06,27.39,27.39,1010.0,75.0,1010.0,1007.0,3.95,123.0,5.65,90.0,"2024-05-01 05:21:15+08:00","2024-05-01 17:52:29+08:00",804.0,"Clouds","overcast clouds","04n","2024-05-01 00:06:27.275612+08:00","Bislig","","",""
10000.0,"2024-05-01 00:06:28+08:00",121.0807,14.3427,29.55,36.55,29.45,30.09,1010.0,81.0,"","",3.6,120.0,"",20.0,"2024-05-01 05:33:17+08:00","2024-05-01 18:12:04+08:00",801.0,"Clouds","few clouds","02n","2024-05-01 00:06:28.796503+08:00","Biñan",2.0,2084056.0,""
10000.0,"2024-05-01 00:06:31+08:00",124.0055,11.0517,27.52,30.33,27.52,27.52,1009.0,75.0,1009.0,1005.0,4.16,125.0,6.21,100.0,"2024-05-01 05:25:23+08:00","2024-05-01 17:56:35+08:00",804.0,"Clouds","overcast clouds","04n","2024-05-01 00:06:31.041979+08:00","Bogo","","",""
10000.0,"2024-05-01 00:06:33+08:00",125.4319,11.6081,24.71,25.51,24.71,24.71,1010.0,87.0,1010.0,991.0,2.67,149.0,3.96,97.0,"2024-05-01 05:19:03+08:00","2024-05-01 17:51:30+08:00",804.0,"Clouds","overcast clouds","04n","2024-05-01 00:06:33.420990+08:00","Borongan","","",""
10000.0,"2024-05-01 00:06:36+08:00",125.5436,8.9492,26.12,26.12,26.12,26.12,1010.0,95.0,1010.0,996.0,2.18,149.0,4.88,100.0,"2024-05-01 05:21:36+08:00","2024-05-01 17:48:04+08:00",804.0,"Clouds","overcast clouds","04n","2024-05-01 00:06:36.040527+08:00","Butuan",2.0,2093017.0,""
10000.0,"2024-05-01 00:06:38+08:00",125.5344,9.1236,26.11,26.11,26.11,26.11,1011.0,95.0,"","",2.19,132.0,3.59,100.0,"2024-05-01 05:21:26+08:00","2024-05-01 17:48:17+08:00",804.0,"Clouds","overcast clouds","04n","2024-05-01 00:06:38.074473+08:00","Cabadbaran",2.0,2093017.0,""
10000.0,"2024-05-01 00:06:39+08:00",120.9667,15.4833,27.12,29.61,27.12,27.12,1009.0,76.0,1009.0,1007.0,2.71,86.0,4.33,36.0,"2024-05-01 05:32:24+08:00","2024-05-01 18:13:52+08:00",802.0,"Clouds","scattered clouds","03n","2024-05-01 00:06:39.182095+08:00","Cabanatuan City",2.0,2090375.0,""
10000.0,"2024-05-01 00:06:40+08:00",121.1262,14.2726,29.49,36.49,29.39,30.03,1009.0,85.0,1009.0,1001.0,4.06,108.0,7.3,71.0,"2024-05-01 05:33:11+08:00","2024-05-01 18:11:49+08:00",803.0,"Clouds","broken clouds","04n","2024-05-01 00:06:40.604651+08:00","Cabuyao",2.0,2084056.0,""
10000.0,"2024-05-01 00:06:41+08:00",123.2856,10.9506,27.73,31.57,27.73,27.73,1009.0,81.0,1009.0,997.0,5.19,108.0,6.69,100.0,"2024-05-01 05:28:22+08:00","2024-05-01 17:59:21+08:00",804.0,"Clouds","overcast clouds","04n","2024-05-01 00:06:41.950406+08:00","Cadiz","","",""
10000.0,"2024-05-01 00:06:43+08:00",124.6472,8.4822,25.94,26.81,25.94,25.94,1009.0,85.0,1009.0,998.0,1.68,155.0,1.64,94.0,"2024-05-01 05:25:42+08:00","2024-05-01 17:51:07+08:00",804.0,"Clouds","overcast clouds","04n","2024-05-01 00:06:43.197656+08:00","Cagayan de Oro","","",""
10000.0,"2024-05-01 00:06:44+08:00",120.8133,13.9324,25.95,25.95,25.95,25.95,1009.0,88.0,1009.0,997.0,3.35,95.0,6.74,69.0,"2024-05-01 05:34:50+08:00","2024-05-01 18:12:40+08:00",803.0,"Clouds","broken clouds","04n","2024-05-01 00:06:44.464748+08:00","Calaca","","",""
10000.0,"2024-05-01 00:06:46+08:00",121.1653,14.2117,29.41,36.41,29.39,29.97,1009.0,85.0,1009.0,998.0,3.38,107.0,5.87,76.0,"2024-05-01 05:33:06+08:00","2024-05-01 18:11:35+08:00",803.0,"Clouds","broken clouds","04n","2024-05-01 00:06:46.793434+08:00","Calamba",2.0,2084056.0,""
10000.0,"2024-05-01 00:06:47+08:00",121.1803,13.4117,27.75,30.94,27.75,27.75,1010.0,76.0,1010.0,1000.0,2.26,117.0,3.48,100.0,"2024-05-01 05:33:58+08:00","2024-05-01 18:10:35+08:00",804.0,"Clouds","overcast clouds","04n","2024-05-01 00:06:47.941562+08:00","Calapan","","",""
10000.0,"2024-05-01 00:06:49+08:00",124.6,12.0667,25.17,25.99,25.17,25.17,1010.0,86.0,1010.0,1005.0,3.11,92.0,4.53,54.0,"2024-05-01 05:21:51+08:00","2024-05-01 17:55:22+08:00",803.0,"Clouds","broken clouds","04n","2024-05-01 00:06:49.961884+08:00","Calbayog City","","",""
10000.0,"2024-05-01 00:04:28+08:00",120.9667,14.65,30.01,36.33,29.45,30.1,1010.0,75.0,"","",3.6,120.0,"",20.0,"2024-05-01 05:33:23+08:00","2024-05-01 18:12:53+08:00",801.0,"Clouds","few clouds","02n","2024-05-01 00:06:51.644425+08:00","Caloocan City",2.0,2008256.0,""
10000.0,"2024-05-01 00:06:53+08:00",120.4517,17.1947,28.21,32.3,28.21,28.21,1008.0,78.0,1008.0,1002.0,0.94,54.0,1.22,0.0,"2024-05-01 05:32:25+08:00","2024-05-01 18:17:59+08:00",800.0,"Clear","clear sky","01n","2024-05-01 00:06:53.801437+08:00","Candon","","",""
10000.0,"2024-05-01 00:06:55+08:00",123.1964,10.3864,23.37,24.11,23.37,23.37,1010.0,90.0,1010.0,957.0,2.4,137.0,2.98,100.0,"2024-05-01 05:29:22+08:00","2024-05-01 17:59:04+08:00",804.0,"Clouds","overcast clouds","04n","2024-05-01 00:06:55.803645+08:00","Canlaon","","",""
10000.0,"2024-05-01 00:06:57+08:00",123.6402,10.1061,28.98,34.69,28.98,28.98,1009.0,80.0,1009.0,1000.0,6.6,95.0,9.36,100.0,"2024-05-01 05:27:55+08:00","2024-05-01 17:56:58+08:00",500.0,"Rain","light rain","10n","2024-05-01 00:06:57.165802+08:00","Carcar",1.0,8187.0,0.12
